state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1(1)a       3.535  0.497  0.876  1.776  2.106  0.659  2.097 -0.623  3.443
2(1)a       3.738  0.000  0.897  1.152  1.339  0.256  1.302  0.185  2.135
3(1)a       4.546  0.001  0.901  1.167  1.374  0.271  1.339  0.171  2.108
4(1)a       4.583  0.010  0.898  1.999  1.509  0.384  1.587 -0.155  2.586
5(1)a       5.198  0.028  0.882  1.712  1.980  0.523  1.933 -0.327  2.868
7(1)a       5.722  0.000  0.919  2.185  1.871  0.446  1.803 -0.045  2.584
6(1)a       5.746  0.284  0.888  1.277  1.636  0.325  1.497  0.125  2.337
8(1)a       5.965  0.027  0.896  2.021  2.075  0.514  2.024 -0.314  2.659
9(1)a       6.365  0.006  0.914  2.193  2.341  0.522  2.290 -0.021  2.949
10(1)a      6.531  0.000  0.914  2.097  1.851  0.459  1.799 -0.174  2.930
11(1)a      6.706  0.050  0.852  1.816  2.125  0.656  2.115 -0.571  3.675
12(1)a      6.845  0.002  0.912  2.038  1.737  0.436  1.657 -0.229  2.955
13(1)a      6.988  0.609  0.917  2.013  1.121  0.087  1.093 -0.018  2.194
14(1)a      7.202  0.017  0.910  1.946  2.434  0.626  2.352 -0.419  3.445
15(1)a      7.345  0.000  0.918  1.953  1.468  0.268  1.338 -0.133  2.710
