state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
2(1)a       3.730  0.495  0.878  1.791  2.112  0.653  2.099 -0.615  3.424
1(1)a       3.733  0.000  0.897  1.149  1.332  0.251  1.296  0.180  2.117
3(1)a       4.512  0.001  0.901  1.164  1.369  0.268  1.334  0.166  2.094
4(1)a       4.611  0.012  0.898  2.013  1.487  0.367  1.543 -0.145  2.558
5(1)a       5.310  0.019  0.884  1.663  2.056  0.494  1.994 -0.269  2.808
6(1)a       5.709  0.000  0.920  2.247  1.953  0.458  1.904  0.018  2.559
7(1)a       5.797  0.310  0.888  1.329  1.770  0.346  1.594  0.075  2.393
8(1)a       6.049  0.019  0.897  2.012  2.085  0.520  2.032 -0.336  2.677
9(1)a       6.389  0.008  0.915  2.195  2.235  0.495  2.178 -0.015  2.897
10(1)a      6.509  0.000  0.915  2.144  1.846  0.450  1.793 -0.120  2.846
12(1)a      6.903  0.052  0.903  2.021  1.734  0.435  1.666 -0.212  2.962
11(1)a      6.928  0.317  0.874  1.904  1.776  0.429  1.660 -0.294  3.150
13(1)a      6.967  0.289  0.903  1.961  1.514  0.293  1.367 -0.191  2.757
15(1)a      7.332  0.001  0.910  2.029  2.386  0.575  2.297 -0.305  3.345
14(1)a      7.352  0.000  0.921  1.987  1.200  0.154  1.170  0.007  2.379
