state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1(1)a       3.738  0.000  0.897  1.146  1.325  0.248  1.291  0.175  2.099
2(1)a       4.017  0.491  0.881  1.816  2.125  0.641  2.108 -0.595  3.384
3(1)a       4.463  0.001  0.901  1.163  1.365  0.266  1.332  0.162  2.082
4(1)a       4.649  0.013  0.898  2.028  1.461  0.347  1.492 -0.134  2.525
5(1)a       5.464  0.006  0.887  1.576  2.149  0.441  2.012 -0.154  2.692
6(1)a       5.608  0.000  0.921  2.331  2.059  0.479  2.033  0.105  2.557
7(1)a       5.886  0.348  0.889  1.434  2.021  0.381  1.787 -0.010  2.495
8(1)a       6.178  0.008  0.897  1.996  2.092  0.527  2.037 -0.364  2.712
10(1)a      6.421  0.000  0.916  2.203  1.877  0.449  1.830 -0.054  2.768
9(1)a       6.423  0.009  0.915  2.178  2.076  0.460  2.010 -0.039  2.829
11(1)a      6.612  0.000  0.835  1.537  1.122  0.902  1.119  0.906  3.596
13(1)a      6.894  0.004  0.914  2.086  1.640  0.399  1.535 -0.179  2.777
12(1)a      6.935  0.635  0.916  2.010  1.134  0.099  1.110  0.004  2.203
14(1)a      7.118  0.029  0.857  1.848  2.141  0.621  2.111 -0.497  3.588
15(1)a      7.313  0.001  0.920  2.028  1.220  0.174  1.193  0.091  2.403
