state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1(1)a       3.546  0.497  0.876  1.776  2.106  0.659  2.097 -0.623  3.442
2(1)a       3.737  0.000  0.897  1.151  1.339  0.256  1.301  0.185  2.134
3(1)a       4.544  0.001  0.901  1.166  1.374  0.271  1.338  0.170  2.107
4(1)a       4.585  0.011  0.898  2.000  1.508  0.383  1.584 -0.155  2.584
5(1)a       5.204  0.027  0.882  1.709  1.984  0.522  1.936 -0.324  2.865
7(1)a       5.723  0.000  0.919  2.189  1.876  0.446  1.808 -0.041  2.582
6(1)a       5.748  0.285  0.888  1.280  1.643  0.326  1.502  0.122  2.340
8(1)a       5.970  0.027  0.896  2.021  2.076  0.514  2.024 -0.315  2.660
9(1)a       6.366  0.006  0.914  2.193  2.336  0.521  2.284 -0.020  2.946
10(1)a      6.531  0.000  0.914  2.100  1.850  0.458  1.797 -0.171  2.925
11(1)a      6.716  0.051  0.852  1.816  2.125  0.655  2.114 -0.569  3.673
12(1)a      6.847  0.003  0.912  2.039  1.732  0.435  1.651 -0.228  2.949
13(1)a      6.987  0.608  0.917  2.013  1.122  0.088  1.094 -0.018  2.195
14(1)a      7.209  0.017  0.910  1.947  2.434  0.626  2.352 -0.419  3.442
15(1)a      7.347  0.000  0.919  1.955  1.430  0.253  1.312 -0.119  2.671
